cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UNI,2017-2020 Nickel - Urine P_UNI Doc P_UNI Data [XPT - 154.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UNI.xpt,P_UNI.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UTAS,2017-2020 Arsenic - Total - Urine P_UTAS Doc P_UTAS Data [XPT - 154.1 KB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UTAS.xpt,P_UTAS.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UVOC,2017-2020 Volatile Organic Compound (VOC) Metabolites - Urine P_UVOC Doc P_UVOC Data [XPT - 1.6 MB] September 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UVOC.xpt,P_UVOC.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_UVOC2,2017-2020 Volatile Organic Compound (VOC) Metabolites II - Urine P_UVOC2 Doc P_UVOC2 Data [XPT - 230.8 KB] September 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_UVOC2.xpt,P_UVOC2.xpt,False
2017-March_2020_PrePandemic,2017-2020,Laboratory,P_VOCWB,2017-2020 Volatile Organic Compounds and Trihalomethanes/MTBE - Blood P_VOCWB Doc P_VOCWB Data [XPT - 3.3 MB] November 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_VOCWB.xpt,P_VOCWB.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_ACQ,2017-2020 Acculturation P_ACQ Doc P_ACQ Data [XPT - 664.8 KB] September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_ACQ.xpt,P_ACQ.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_ALQ,2017-2020 Alcohol Use P_ALQ Doc P_ALQ Data [XPT - 702.5 KB] January 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_ALQ.xpt,P_ALQ.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_AUQ,2017-2020 Audiometry P_AUQ Doc P_AUQ Data [XPT - 6.6 MB] September 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_AUQ.xpt,P_AUQ.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_BPQ,2017-2020 Blood Pressure & Cholesterol P_BPQ Doc P_BPQ Data [XPT - 878.4 KB] May 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_BPQ.xpt,P_BPQ.xpt,True
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_CBQPFA,2017-2020 Consumer Behavior Phone Follow-up Module - Adult P_CBQPFA Doc P_CBQPFA Data [XPT - 4.3 MB] September 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CBQPFA.xpt,P_CBQPFA.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_CBQPFC,2017-2020 Consumer Behavior Phone Follow-up Module – Child P_CBQPFC Doc P_CBQPFC Data [XPT - 2 MB] September 2022,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CBQPFC.xpt,P_CBQPFC.xpt,False
2017-March_2020_PrePandemic,2017-2020,Questionnaire,P_CDQ,2017-2020 Cardiovascular Health P_CDQ Doc P_CDQ Data [XPT - 857.5 KB] July 2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_CDQ.xpt,P_CDQ.xpt,False
