cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download,local_path,download_status,file_size_bytes
2021-August_2023,2021-2023,Dietary,DR1IFF_L,"Dietary Interview - Individual Foods, First Day DR1IFF_L Doc DR1IFF_L Data [XPT - 64.2 MB] October 2024",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR1IFF_L.xpt,DR1IFF_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DR1IFF_L.xpt,downloaded,67290480
2021-August_2023,2021-2023,Dietary,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day DR1TOT_L Doc DR1TOT_L Data [XPT - 11.4 MB] October 2024",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR1TOT_L.xpt,DR1TOT_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DR1TOT_L.xpt,downloaded,11932080
2021-August_2023,2021-2023,Dietary,DR2IFF_L,"Dietary Interview - Individual Foods, Second Day DR2IFF_L Doc DR2IFF_L Data [XPT - 56.4 MB] October 2024",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR2IFF_L.xpt,DR2IFF_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DR2IFF_L.xpt,downloaded,59170000
2021-August_2023,2021-2023,Dietary,DR2TOT_L,"Dietary Interview - Total Nutrient Intakes, Second Day DR2TOT_L Doc DR2TOT_L Data [XPT - 5.8 MB] October 2024",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR2TOT_L.xpt,DR2TOT_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DR2TOT_L.xpt,downloaded,6037440
2021-August_2023,2021-2023,Dietary,DRXFCD_L,Dietary Interview Technical Support File - Food Codes DRXFCD_L Doc DRXFCD_L Data [XPT - 1.4 MB] October 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DRXFCD_L.xpt,DRXFCD_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DRXFCD_L.xpt,downloaded,1457040
2021-August_2023,2021-2023,Dietary,DSBI,Dietary Supplement Database - Blend Information DSBI Doc DSBI Data [XPT - 10 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt,DSBI.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DSBI.xpt,downloaded,10452880
2021-August_2023,2021-2023,Dietary,DSII,Dietary Supplement Database - Ingredient Information DSII Doc DSII Data [XPT - 82.4 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt,DSII.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DSII.xpt,downloaded,86359040
2021-August_2023,2021-2023,Dietary,DSPI,Dietary Supplement Database - Product Information DSPI Doc DSPI Data [XPT - 6.5 MB] February 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt,DSPI.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DSPI.xpt,downloaded,6842720
2021-August_2023,2021-2023,Dietary,DSQIDS_L,Dietary Supplement Use 30-Day - Individual Dietary Supplements DSQIDS_L Doc DSQIDS_L Data [XPT - 6 MB] Updated April 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DSQIDS_L.xpt,DSQIDS_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DSQIDS_L.xpt,downloaded,6286080
2021-August_2023,2021-2023,Dietary,DSQTOT_L,Dietary Supplement Use 30-Day - Total Dietary Supplements DSQTOT_L Doc DSQTOT_L Data [XPT - 2.7 MB] Updated April 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DSQTOT_L.xpt,DSQTOT_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Dietary\DSQTOT_L.xpt,downloaded,2841520
2021-August_2023,2021-2023,Examination,BMX_L,Body Measures BMX_L Doc BMX_L Data [XPT - 1.5 MB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BMX_L.xpt,BMX_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Examination\BMX_L.xpt,downloaded,1563200
2021-August_2023,2021-2023,Examination,BPXO_L,Blood Pressure - Oscillometric Measurements BPXO_L Doc BPXO_L Data [XPT - 680.4 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BPXO_L.xpt,BPXO_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Examination\BPXO_L.xpt,downloaded,696720
